[Wed Mar 25 20:41:52 KST 2015] Asvm-Accuracy: 0.4100 | a-Rate: 0.001 | C: 0.01 | gamma: 0.5
[Wed Mar 25 20:41:52 KST 2015] Asvm-Accuracy: 0.4100 | a-Rate: 0.001 | C: 0.01 | gamma: 0.05
[Wed Mar 25 20:41:52 KST 2015] Asvm-Accuracy: 0.4100 | a-Rate: 0.001 | C: 0.01 | gamma: 0.005
[Wed Mar 25 20:41:52 KST 2015] Asvm-Accuracy: 0.4100 | a-Rate: 0.001 | C: 0.01 | gamma: 5.0E-4
[Wed Mar 25 20:41:52 KST 2015] Asvm-Accuracy: 0.4100 | a-Rate: 0.001 | C: 0.05 | gamma: 0.5
[Wed Mar 25 20:41:52 KST 2015] Asvm-Accuracy: 0.4100 | a-Rate: 0.001 | C: 0.05 | gamma: 0.05
[Wed Mar 25 20:41:52 KST 2015] Asvm-Accuracy: 0.4100 | a-Rate: 0.001 | C: 0.05 | gamma: 0.005
[Wed Mar 25 20:41:52 KST 2015] Asvm-Accuracy: 0.4100 | a-Rate: 0.001 | C: 0.05 | gamma: 5.0E-4
[Wed Mar 25 20:41:53 KST 2015] Asvm-Accuracy: 0.4100 | a-Rate: 0.001 | C: 0.1 | gamma: 0.5
[Wed Mar 25 20:41:53 KST 2015] Asvm-Accuracy: 0.4100 | a-Rate: 0.001 | C: 0.1 | gamma: 0.05
[Wed Mar 25 20:41:53 KST 2015] Asvm-Accuracy: 0.4100 | a-Rate: 0.001 | C: 0.1 | gamma: 0.005
[Wed Mar 25 20:41:53 KST 2015] Asvm-Accuracy: 0.4100 | a-Rate: 0.001 | C: 0.1 | gamma: 5.0E-4
[Wed Mar 25 20:41:53 KST 2015] Asvm-Accuracy: 0.4100 | a-Rate: 0.001 | C: 0.5 | gamma: 0.5
[Wed Mar 25 20:41:53 KST 2015] Asvm-Accuracy: 0.4100 | a-Rate: 0.001 | C: 0.5 | gamma: 0.05
