[Wed Mar 25 20:42:01 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.001 | C: 0.01 | gamma: 0.5
[Wed Mar 25 20:42:01 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.001 | C: 0.01 | gamma: 0.05
[Wed Mar 25 20:42:01 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.001 | C: 0.01 | gamma: 0.005
[Wed Mar 25 20:42:01 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.001 | C: 0.01 | gamma: 5.0E-4
[Wed Mar 25 20:42:01 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.001 | C: 0.05 | gamma: 0.5
[Wed Mar 25 20:42:01 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.001 | C: 0.05 | gamma: 0.05
[Wed Mar 25 20:42:01 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.001 | C: 0.05 | gamma: 0.005
[Wed Mar 25 20:42:01 KST 2015] Asvm-Accuracy: 0.5600 | a-Rate: 0.001 | C: 0.05 | gamma: 5.0E-4
[Wed Mar 25 20:42:01 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.001 | C: 0.1 | gamma: 0.5
[Wed Mar 25 20:42:01 KST 2015] Asvm-Accuracy: 0.6200 | a-Rate: 0.001 | C: 0.1 | gamma: 0.05
[Wed Mar 25 20:42:01 KST 2015] Asvm-Accuracy: 0.5400 | a-Rate: 0.001 | C: 0.1 | gamma: 0.005
[Wed Mar 25 20:42:01 KST 2015] Asvm-Accuracy: 0.5300 | a-Rate: 0.001 | C: 0.1 | gamma: 5.0E-4
[Wed Mar 25 20:42:02 KST 2015] Asvm-Accuracy: 0.5600 | a-Rate: 0.001 | C: 0.5 | gamma: 0.5
[Wed Mar 25 20:42:02 KST 2015] Asvm-Accuracy: 0.5400 | a-Rate: 0.001 | C: 0.5 | gamma: 0.05
[Wed Mar 25 20:42:02 KST 2015] Asvm-Accuracy: 0.5400 | a-Rate: 0.001 | C: 0.5 | gamma: 0.005
[Wed Mar 25 20:42:02 KST 2015] Asvm-Accuracy: 0.5400 | a-Rate: 0.001 | C: 0.5 | gamma: 5.0E-4
[Wed Mar 25 20:42:02 KST 2015] Asvm-Accuracy: 0.5600 | a-Rate: 0.001 | C: 1.0 | gamma: 0.5
[Wed Mar 25 20:42:02 KST 2015] Asvm-Accuracy: 0.5400 | a-Rate: 0.001 | C: 1.0 | gamma: 0.05
[Wed Mar 25 20:42:02 KST 2015] Asvm-Accuracy: 0.5700 | a-Rate: 0.001 | C: 1.0 | gamma: 0.005
[Wed Mar 25 20:42:02 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.001 | C: 1.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:02 KST 2015] Asvm-Accuracy: 0.5900 | a-Rate: 0.001 | C: 10.0 | gamma: 0.5
[Wed Mar 25 20:42:02 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.001 | C: 10.0 | gamma: 0.05
[Wed Mar 25 20:42:02 KST 2015] Asvm-Accuracy: 0.5300 | a-Rate: 0.001 | C: 10.0 | gamma: 0.005
[Wed Mar 25 20:42:02 KST 2015] Asvm-Accuracy: 0.5600 | a-Rate: 0.001 | C: 10.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:02 KST 2015] Asvm-Accuracy: 0.5400 | a-Rate: 0.001 | C: 100.0 | gamma: 0.5
[Wed Mar 25 20:42:02 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.001 | C: 100.0 | gamma: 0.05
[Wed Mar 25 20:42:03 KST 2015] Asvm-Accuracy: 0.5300 | a-Rate: 0.001 | C: 100.0 | gamma: 0.005
[Wed Mar 25 20:42:03 KST 2015] Asvm-Accuracy: 0.5800 | a-Rate: 0.001 | C: 100.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:03 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.01 | C: 0.01 | gamma: 0.5
[Wed Mar 25 20:42:03 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.01 | C: 0.01 | gamma: 0.05
[Wed Mar 25 20:42:03 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.01 | C: 0.01 | gamma: 0.005
[Wed Mar 25 20:42:03 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.01 | C: 0.01 | gamma: 5.0E-4
[Wed Mar 25 20:42:03 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.01 | C: 0.05 | gamma: 0.5
[Wed Mar 25 20:42:03 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.01 | C: 0.05 | gamma: 0.05
[Wed Mar 25 20:42:03 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.01 | C: 0.05 | gamma: 0.005
[Wed Mar 25 20:42:03 KST 2015] Asvm-Accuracy: 0.5900 | a-Rate: 0.01 | C: 0.05 | gamma: 5.0E-4
[Wed Mar 25 20:42:03 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.01 | C: 0.1 | gamma: 0.5
[Wed Mar 25 20:42:03 KST 2015] Asvm-Accuracy: 0.6000 | a-Rate: 0.01 | C: 0.1 | gamma: 0.05
[Wed Mar 25 20:42:04 KST 2015] Asvm-Accuracy: 0.5600 | a-Rate: 0.01 | C: 0.1 | gamma: 0.005
[Wed Mar 25 20:42:04 KST 2015] Asvm-Accuracy: 0.5300 | a-Rate: 0.01 | C: 0.1 | gamma: 5.0E-4
[Wed Mar 25 20:42:04 KST 2015] Asvm-Accuracy: 0.5600 | a-Rate: 0.01 | C: 0.5 | gamma: 0.5
[Wed Mar 25 20:42:04 KST 2015] Asvm-Accuracy: 0.5400 | a-Rate: 0.01 | C: 0.5 | gamma: 0.05
[Wed Mar 25 20:42:04 KST 2015] Asvm-Accuracy: 0.5400 | a-Rate: 0.01 | C: 0.5 | gamma: 0.005
[Wed Mar 25 20:42:04 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.01 | C: 0.5 | gamma: 5.0E-4
[Wed Mar 25 20:42:04 KST 2015] Asvm-Accuracy: 0.5600 | a-Rate: 0.01 | C: 1.0 | gamma: 0.5
[Wed Mar 25 20:42:04 KST 2015] Asvm-Accuracy: 0.5400 | a-Rate: 0.01 | C: 1.0 | gamma: 0.05
[Wed Mar 25 20:42:04 KST 2015] Asvm-Accuracy: 0.5700 | a-Rate: 0.01 | C: 1.0 | gamma: 0.005
[Wed Mar 25 20:42:04 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.01 | C: 1.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:04 KST 2015] Asvm-Accuracy: 0.5800 | a-Rate: 0.01 | C: 10.0 | gamma: 0.5
[Wed Mar 25 20:42:04 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.01 | C: 10.0 | gamma: 0.05
[Wed Mar 25 20:42:04 KST 2015] Asvm-Accuracy: 0.5300 | a-Rate: 0.01 | C: 10.0 | gamma: 0.005
[Wed Mar 25 20:42:05 KST 2015] Asvm-Accuracy: 0.5600 | a-Rate: 0.01 | C: 10.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:05 KST 2015] Asvm-Accuracy: 0.5400 | a-Rate: 0.01 | C: 100.0 | gamma: 0.5
[Wed Mar 25 20:42:05 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.01 | C: 100.0 | gamma: 0.05
[Wed Mar 25 20:42:05 KST 2015] Asvm-Accuracy: 0.5300 | a-Rate: 0.01 | C: 100.0 | gamma: 0.005
[Wed Mar 25 20:42:05 KST 2015] Asvm-Accuracy: 0.6000 | a-Rate: 0.01 | C: 100.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:05 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.1 | C: 0.01 | gamma: 0.5
[Wed Mar 25 20:42:05 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.1 | C: 0.01 | gamma: 0.05
[Wed Mar 25 20:42:05 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.1 | C: 0.01 | gamma: 0.005
[Wed Mar 25 20:42:05 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.1 | C: 0.01 | gamma: 5.0E-4
[Wed Mar 25 20:42:05 KST 2015] Asvm-Accuracy: 0.5500 | a-Rate: 0.1 | C: 0.05 | gamma: 0.5
