[Wed Mar 25 21:06:46 KST 2015] Accuracy: 0.5500 | C: 0.01 | gamma: 0.5
[Wed Mar 25 21:06:46 KST 2015] Accuracy: 0.5500 | C: 0.01 | gamma: 0.05
[Wed Mar 25 21:06:46 KST 2015] Accuracy: 0.5500 | C: 0.01 | gamma: 0.005
[Wed Mar 25 21:06:46 KST 2015] Accuracy: 0.5500 | C: 0.01 | gamma: 5.0E-4
[Wed Mar 25 21:06:46 KST 2015] Accuracy: 0.5500 | C: 0.05 | gamma: 0.5
[Wed Mar 25 21:06:46 KST 2015] Accuracy: 0.5500 | C: 0.05 | gamma: 0.05
[Wed Mar 25 21:06:46 KST 2015] Accuracy: 0.5700 | C: 0.05 | gamma: 0.005
[Wed Mar 25 21:06:46 KST 2015] Accuracy: 0.5600 | C: 0.05 | gamma: 5.0E-4
[Wed Mar 25 21:06:46 KST 2015] Accuracy: 0.5500 | C: 0.1 | gamma: 0.5
[Wed Mar 25 21:06:46 KST 2015] Accuracy: 0.6200 | C: 0.1 | gamma: 0.05
[Wed Mar 25 21:06:46 KST 2015] Accuracy: 0.5400 | C: 0.1 | gamma: 0.005
[Wed Mar 25 21:06:46 KST 2015] Accuracy: 0.5300 | C: 0.1 | gamma: 5.0E-4
[Wed Mar 25 21:06:46 KST 2015] Accuracy: 0.5600 | C: 0.5 | gamma: 0.5
[Wed Mar 25 21:06:46 KST 2015] Accuracy: 0.5500 | C: 0.5 | gamma: 0.05
[Wed Mar 25 21:06:47 KST 2015] Accuracy: 0.5400 | C: 0.5 | gamma: 0.005
[Wed Mar 25 21:06:47 KST 2015] Accuracy: 0.5400 | C: 0.5 | gamma: 5.0E-4
[Wed Mar 25 21:06:47 KST 2015] Accuracy: 0.5600 | C: 1.0 | gamma: 0.5
[Wed Mar 25 21:06:47 KST 2015] Accuracy: 0.5400 | C: 1.0 | gamma: 0.05
[Wed Mar 25 21:06:47 KST 2015] Accuracy: 0.5700 | C: 1.0 | gamma: 0.005
[Wed Mar 25 21:06:47 KST 2015] Accuracy: 0.5600 | C: 1.0 | gamma: 5.0E-4
[Wed Mar 25 21:06:47 KST 2015] Accuracy: 0.5900 | C: 10.0 | gamma: 0.5
[Wed Mar 25 21:06:47 KST 2015] Accuracy: 0.5600 | C: 10.0 | gamma: 0.05
[Wed Mar 25 21:06:47 KST 2015] Accuracy: 0.5300 | C: 10.0 | gamma: 0.005
[Wed Mar 25 21:06:47 KST 2015] Accuracy: 0.5800 | C: 10.0 | gamma: 5.0E-4
[Wed Mar 25 21:06:47 KST 2015] Accuracy: 0.5300 | C: 100.0 | gamma: 0.5
[Wed Mar 25 21:06:47 KST 2015] Accuracy: 0.4800 | C: 100.0 | gamma: 0.05
[Wed Mar 25 21:06:47 KST 2015] Accuracy: 0.5300 | C: 100.0 | gamma: 0.005
[Wed Mar 25 21:06:47 KST 2015] Accuracy: 0.5400 | C: 100.0 | gamma: 5.0E-4
