[Wed Mar 25 21:06:49 KST 2015] Accuracy: 0.4949 | C: 0.01 | gamma: 0.5
[Wed Mar 25 21:06:49 KST 2015] Accuracy: 0.4949 | C: 0.01 | gamma: 0.05
[Wed Mar 25 21:06:49 KST 2015] Accuracy: 0.4949 | C: 0.01 | gamma: 0.005
[Wed Mar 25 21:06:49 KST 2015] Accuracy: 0.4949 | C: 0.01 | gamma: 5.0E-4
[Wed Mar 25 21:06:49 KST 2015] Accuracy: 0.4949 | C: 0.05 | gamma: 0.5
[Wed Mar 25 21:06:49 KST 2015] Accuracy: 0.4949 | C: 0.05 | gamma: 0.05
[Wed Mar 25 21:06:49 KST 2015] Accuracy: 0.5960 | C: 0.05 | gamma: 0.005
[Wed Mar 25 21:06:49 KST 2015] Accuracy: 0.6970 | C: 0.05 | gamma: 5.0E-4
[Wed Mar 25 21:06:49 KST 2015] Accuracy: 0.4949 | C: 0.1 | gamma: 0.5
[Wed Mar 25 21:06:49 KST 2015] Accuracy: 0.5354 | C: 0.1 | gamma: 0.05
[Wed Mar 25 21:06:49 KST 2015] Accuracy: 0.6364 | C: 0.1 | gamma: 0.005
[Wed Mar 25 21:06:49 KST 2015] Accuracy: 0.6768 | C: 0.1 | gamma: 5.0E-4
[Wed Mar 25 21:06:49 KST 2015] Accuracy: 0.5354 | C: 0.5 | gamma: 0.5
[Wed Mar 25 21:06:49 KST 2015] Accuracy: 0.5859 | C: 0.5 | gamma: 0.05
[Wed Mar 25 21:06:50 KST 2015] Accuracy: 0.5556 | C: 0.5 | gamma: 0.005
[Wed Mar 25 21:06:50 KST 2015] Accuracy: 0.6768 | C: 0.5 | gamma: 5.0E-4
[Wed Mar 25 21:06:50 KST 2015] Accuracy: 0.5253 | C: 1.0 | gamma: 0.5
[Wed Mar 25 21:06:50 KST 2015] Accuracy: 0.6061 | C: 1.0 | gamma: 0.05
[Wed Mar 25 21:06:50 KST 2015] Accuracy: 0.5758 | C: 1.0 | gamma: 0.005
[Wed Mar 25 21:06:50 KST 2015] Accuracy: 0.6768 | C: 1.0 | gamma: 5.0E-4
[Wed Mar 25 21:06:50 KST 2015] Accuracy: 0.4848 | C: 10.0 | gamma: 0.5
[Wed Mar 25 21:06:50 KST 2015] Accuracy: 0.5455 | C: 10.0 | gamma: 0.05
[Wed Mar 25 21:06:50 KST 2015] Accuracy: 0.6162 | C: 10.0 | gamma: 0.005
[Wed Mar 25 21:06:50 KST 2015] Accuracy: 0.6364 | C: 10.0 | gamma: 5.0E-4
[Wed Mar 25 21:06:50 KST 2015] Accuracy: 0.4545 | C: 100.0 | gamma: 0.5
[Wed Mar 25 21:06:50 KST 2015] Accuracy: 0.5152 | C: 100.0 | gamma: 0.05
[Wed Mar 25 21:06:50 KST 2015] Accuracy: 0.5859 | C: 100.0 | gamma: 0.005
[Wed Mar 25 21:06:50 KST 2015] Accuracy: 0.6263 | C: 100.0 | gamma: 5.0E-4
