[Wed Mar 25 20:55:23 KST 2015] Accuracy: 0.4100 | C: 0.01 | gamma: 0.5
[Wed Mar 25 20:55:23 KST 2015] Accuracy: 0.4100 | C: 0.01 | gamma: 0.05
[Wed Mar 25 20:55:23 KST 2015] Accuracy: 0.4100 | C: 0.01 | gamma: 0.005
[Wed Mar 25 20:55:23 KST 2015] Accuracy: 0.4100 | C: 0.01 | gamma: 5.0E-4
[Wed Mar 25 20:55:23 KST 2015] Accuracy: 0.4100 | C: 0.05 | gamma: 0.5
[Wed Mar 25 20:55:23 KST 2015] Accuracy: 0.4100 | C: 0.05 | gamma: 0.05
[Wed Mar 25 20:55:23 KST 2015] Accuracy: 0.4100 | C: 0.05 | gamma: 0.005
[Wed Mar 25 20:55:23 KST 2015] Accuracy: 0.4100 | C: 0.05 | gamma: 5.0E-4
[Wed Mar 25 20:55:23 KST 2015] Accuracy: 0.4100 | C: 0.1 | gamma: 0.5
[Wed Mar 25 20:55:23 KST 2015] Accuracy: 0.4100 | C: 0.1 | gamma: 0.05
[Wed Mar 25 20:55:23 KST 2015] Accuracy: 0.4100 | C: 0.1 | gamma: 0.005
[Wed Mar 25 20:55:23 KST 2015] Accuracy: 0.4100 | C: 0.1 | gamma: 5.0E-4
[Wed Mar 25 20:55:23 KST 2015] Accuracy: 0.4100 | C: 0.5 | gamma: 0.5
[Wed Mar 25 20:55:23 KST 2015] Accuracy: 0.4100 | C: 0.5 | gamma: 0.05
[Wed Mar 25 20:55:23 KST 2015] Accuracy: 0.4100 | C: 0.5 | gamma: 0.005
[Wed Mar 25 20:55:23 KST 2015] Accuracy: 0.4100 | C: 0.5 | gamma: 5.0E-4
[Wed Mar 25 20:55:23 KST 2015] Accuracy: 0.4100 | C: 1.0 | gamma: 0.5
[Wed Mar 25 20:55:23 KST 2015] Accuracy: 0.4100 | C: 1.0 | gamma: 0.05
[Wed Mar 25 20:55:23 KST 2015] Accuracy: 0.4100 | C: 1.0 | gamma: 0.005
[Wed Mar 25 20:55:23 KST 2015] Accuracy: 0.4100 | C: 1.0 | gamma: 5.0E-4
[Wed Mar 25 20:55:23 KST 2015] Accuracy: 0.4100 | C: 10.0 | gamma: 0.5
[Wed Mar 25 20:55:24 KST 2015] Accuracy: 0.4100 | C: 10.0 | gamma: 0.05
[Wed Mar 25 20:55:24 KST 2015] Accuracy: 0.4100 | C: 10.0 | gamma: 0.005
[Wed Mar 25 20:55:24 KST 2015] Accuracy: 0.4100 | C: 10.0 | gamma: 5.0E-4
[Wed Mar 25 20:55:24 KST 2015] Accuracy: 0.4100 | C: 100.0 | gamma: 0.5
[Wed Mar 25 20:55:24 KST 2015] Accuracy: 0.4100 | C: 100.0 | gamma: 0.05
[Wed Mar 25 20:55:24 KST 2015] Accuracy: 0.4100 | C: 100.0 | gamma: 0.005
[Wed Mar 25 20:55:24 KST 2015] Accuracy: 0.4100 | C: 100.0 | gamma: 5.0E-4
